time 30.339541912078857 | score 0.0
time 30.62025284767151 | score 0.0
time 30.263569831848145 | score 0.0
time 0.16386651992797852 | score 9.536245346069336
time 0.1386737823486328 | score 0.0
time 0.15787553787231445 | score 28.77147674560547
time 30.702113151550293 | score 0.0
time 30.59595489501953 | score 0.0
time 30.2627854347229 | score 0.0
time 0.0521697998046875 | score 0.0
time 30.140672206878662 | score 0.0
time 0.09969878196716309 | score 12.175641059875488
time 0.11594653129577637 | score 17.68536376953125
time 0.16415691375732422 | score 11.571934700012207
time 0.1165156364440918 | score 11.58377456665039
time 0.053021907806396484 | score 0.0
time 0.13321375846862793 | score 9.292872428894043
time 0.12078595161437988 | score 9.371829986572266
time 30.151363849639893 | score 0.0
time 0.07893204689025879 | score 5.183886528015137
time 30.538148164749146 | score 0.0
time 0.15033292770385742 | score 0.0
time 0.22510075569152832 | score 0.0
time 0.08251190185546875 | score 7.243753910064697
time 30.359694004058838 | score 0.0
time 0.12294363975524902 | score 11.564370155334473
time 0.10550498962402344 | score 0.0
time 0.24817943572998047 | score 31.512081146240234
time 0.12013363838195801 | score 0.0
time 0.11563682556152344 | score 0.0
time 30.12848138809204 | score 0.0
time 30.57071328163147 | score 0.0
time 0.17093467712402344 | score 0.0
time 0.058783769607543945 | score 0.0
time 0.3844871520996094 | score 0.0
time 0.8269550800323486 | score 0.0
time 30.289903163909912 | score 0.0
time 0.05464959144592285 | score 0.0
time 0.09161615371704102 | score 9.42739486694336
time 31.079596757888794 | score 0.0
time 30.174710750579834 | score 0.0
time 30.249346017837524 | score 0.0
time 31.04038667678833 | score 0.0
time 0.22092747688293457 | score 15.480890274047852
time 30.271278142929077 | score 0.0
time 30.26202893257141 | score 0.0
time 30.276610374450684 | score 0.0
time 0.11451578140258789 | score 0.0
time 30.29497265815735 | score 0.0
time 30.19074773788452 | score 0.0
time 0.3480830192565918 | score 24.427043914794922
time 30.239675045013428 | score 0.0
time 30.657228231430054 | score 0.0
time 0.10846328735351562 | score 11.551922798156738
time 31.11511206626892 | score 0.0
time 30.724798917770386 | score 0.0
----
total time: 796.4843037128448 | success rate: 16/56
