time 0.09881043434143066 | score 10.247193336486816
time 0.169525146484375 | score 0.0
time 0.4314155578613281 | score 0.0
time 31.286913633346558 | score 0.0
time 0.12110400199890137 | score 10.17975902557373
time 0.09845614433288574 | score 8.114113807678223
time 0.11651992797851562 | score 9.421469688415527
time 0.11257314682006836 | score 0.0
time 0.12180233001708984 | score 9.373878479003906
time 30.15336012840271 | score 0.0
time 0.08945751190185547 | score 10.50115966796875
time 0.20167779922485352 | score 19.128498077392578
time 30.644848108291626 | score 0.0
time 0.11048316955566406 | score 0.0
time 30.366373538970947 | score 0.0
time 0.15074372291564941 | score 11.46662712097168
time 30.01571798324585 | score 0.0
time 0.42194509506225586 | score 0.0
time 30.447391271591187 | score 0.0
time 30.378994941711426 | score 0.0
time 0.11286664009094238 | score 0.0
time 0.08952736854553223 | score 7.958870887756348
time 0.09296345710754395 | score 10.535393714904785
time 0.21020865440368652 | score 22.305849075317383
time 0.1629180908203125 | score 29.876779556274414
time 30.792234897613525 | score 0.0
time 30.160036087036133 | score 0.0
time 30.18230128288269 | score 0.0
time 30.84852147102356 | score 0.0
time 30.094783544540405 | score 0.0
----
total time: 368.2844750881195 | success rate: 12/30
