time 30.250521659851074 | score 0.0
time 30.072794437408447 | score 0.0
time 30.142441987991333 | score 0.0
time 31.131313800811768 | score 0.0
time 30.470670461654663 | score 0.0
time 30.012198448181152 | score 0.0
time 30.079038619995117 | score 0.0
time 0.19607210159301758 | score 0.0
time 30.01906704902649 | score 0.0
time 30.212876558303833 | score 0.0
time 5.776817798614502 | score 0.0
time 30.053146839141846 | score 0.0
time 30.51849937438965 | score 0.0
time 31.497458934783936 | score 0.0
time 6.751232385635376 | score 0.0
time 0.10068988800048828 | score 0.0
time 30.780247926712036 | score 0.0
time 30.403757095336914 | score 0.0
time 30.285402297973633 | score 0.0
time 31.156920671463013 | score 0.0
time 0.1290748119354248 | score 0.0
time 0.8499882221221924 | score 0.0
time 30.872966766357422 | score 0.0
time 0.14554953575134277 | score 20.586612701416016
time 30.080607652664185 | score 0.0
time 0.2034010887145996 | score 0.0
time 0.2475874423980713 | score 0.0
time 0.07327461242675781 | score 0.0
time 0.07510161399841309 | score 0.0
time 30.05854892730713 | score 0.0
time 30.212462186813354 | score 0.0
time 30.089900016784668 | score 0.0
time 0.15088462829589844 | score 14.482852935791016
time 0.11141848564147949 | score 0.0
time 30.075186491012573 | score 0.0
time 30.17463517189026 | score 0.0
time 0.06514787673950195 | score 0.0
time 3.4791367053985596 | score 0.0
time 30.08818006515503 | score 0.0
time 0.16776371002197266 | score 0.0
time 30.337374687194824 | score 0.0
time 3.66005802154541 | score 0.0
time 30.097482204437256 | score 0.0
time 30.07107663154602 | score 0.0
time 4.769705772399902 | score 0.0
time 30.077170848846436 | score 0.0
time 30.132157802581787 | score 0.0
time 30.28946852684021 | score 0.0
----
total time: 936.696478843689 | success rate: 2/48
